Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Market,N market,Market 95% CI,Overall,N,Overall 95% CI,Model release date
ForecastBench,OpenAI,gpt-5.4-nano-2026-03-17†,55.6,930,"[55.1, 56.1]",62.0,182,"[58.6, 64.4]",58.7,1112,"[57.0, 59.5]",2026-03-17
FractalAIResearch,FractalAIResearch,Fathom-Search-4B (prompt 2),54.9,970,"[53.6, 55.9]",62.8,104,"[59.8, 64.0]",58.7,1074,"[57.2, 59.0]",2025-10-26
ForecastBench,Anthropic,claude-3-opus-20240229-superforecaster-with-news-1,56.8,1384,"[56.5, 57.8]",60.4,123,"[59.9, 63.3]",58.6,1507,"[58.6, 59.8]",2024-02-29
ForecastBench,Qwen,qwen1.5-110b-chat-scratchpad-with-freeze-values,56.8,1384,"[56.6, 57.6]",60.5,123,"[59.9, 63.2]",58.6,1507,"[58.5, 60.3]",2024-04-25
FractalAIResearch,FractalAIResearch,Fathom-Search-4B (prompt 1),56.2,970,"[55.6, 56.2]",61.2,104,"[56.4, 60.3]",58.6,1074,"[56.1, 58.1]",2025-10-26
ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1-superforecaster-with-news-1,53.9,1384,"[53.4, 55.3]",63.3,123,"[63.1, 66.0]",58.4,1507,"[58.4, 59.8]",2024-04-17
ForecastBench,OpenAI,gpt-4-turbo-2024-04-09-scratchpad-with-news,55.5,1384,"[55.5, 56.3]",61.5,123,"[61.4, 63.8]",58.4,1507,"[58.8, 59.6]",2024-04-09
ForecastBench,Google DeepMind,gemini-2.0-flash-lite-001†,52.8,2888,"[52.5, 52.9]",64.7,179,"[63.3, 66.7]",58.3,3067,"[57.6, 59.0]",2025-02-05
ForecastBench,Google DeepMind,gemini-1.5-pro-scratchpad-with-news,56.9,1384,"[56.9, 58.3]",59.7,123,"[59.6, 60.6]",58.3,1507,"[58.3, 59.4]",2024-05-01
ForecastBench,Qwen,qwen1.5-110b-chat-scratchpad-with-news-with-freeze-values,56.1,1384,"[56.2, 57.5]",60.2,123,"[60.0, 63.1]",58.1,1507,"[58.1, 59.7]",2024-04-25
sirbayes,sirbayes,pro-high-brave-c1-t1,53.7,439,"[52.8, 54.2]",63.0,80,"[59.1, 64.1]",58.1,519,"[56.6, 58.1]",2026-04-12
ForecastBench,Google DeepMind,gemini-1.5-flash-scratchpad-with-freeze-values,53.4,1384,"[53.3, 54.8]",62.6,123,"[61.2, 62.9]",57.8,1507,"[57.2, 58.7]",2024-05-01
ForecastBench,Anthropic,claude-3-5-sonnet-20240620-scratchpad-with-second-news,53.7,1384,"[53.5, 54.5]",62.1,123,"[62.1, 64.5]",57.7,1507,"[58.1, 58.8]",2024-06-20
ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1-scratchpad-with-news-with-freeze-values,54.0,1384,"[53.9, 55.1]",61.8,123,"[62.1, 65.1]",57.7,1507,"[58.2, 59.3]",2024-04-17
ForecastBench,OpenAI,gpt-4o-superforecaster-with-news-1,53.6,1384,"[53.3, 55.0]",61.6,123,"[60.0, 62.1]",57.4,1507,"[56.8, 57.9]",2024-05-13
ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1-scratchpad-with-news,54.0,1384,"[53.9, 55.1]",60.2,123,"[60.1, 62.6]",57.0,1507,"[57.3, 58.3]",2024-04-17
ForecastBench,Qwen,qwen1.5-110b-chat-scratchpad-with-news,56.1,1384,"[56.2, 57.5]",57.7,123,"[56.9, 61.0]",56.9,1507,"[56.6, 58.7]",2024-04-25
ForecastBench,Anthropic,claude-3-5-sonnet-20240620-superforecaster-with-news-2,54.4,1384,"[54.3, 55.1]",59.1,123,"[56.7, 61.5]",56.7,1507,"[55.9, 57.9]",2024-06-20
ForecastBench,Meta,llama-3-8b-chat-hf-scratchpad-with-freeze-values,50.9,1384,"[50.6, 52.0]",63.3,123,"[61.6, 64.6]",56.7,1507,"[56.5, 57.4]",2024-04-18
ForecastBench,Anthropic,claude-3-opus-20240229-scratchpad-with-news-with-freeze-values,54.7,1384,"[54.5, 56.8]",58.5,123,"[57.7, 60.1]",56.6,1507,"[57.1, 57.8]",2024-02-29
ForecastBench,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",50.8,1384,"[50.7, 51.8]",63.2,123,"[62.7, 63.8]",56.6,1507,"[56.6, 57.1]",
ForecastBench,Google DeepMind,gemini-1.5-pro-superforecaster-with-news-3,55.1,1384,"[54.8, 56.3]",57.9,123,"[56.8, 59.2]",56.5,1507,"[56.0, 57.7]",2024-05-01
ForecastBench,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",50.8,1384,"[50.7, 51.8]",62.8,123,"[62.1, 64.0]",56.4,1507,"[56.4, 56.9]",
Stochastic Radiant,Anthropic,claude-3-5-haiku-20241022,53.0,1141,"[52.7, 53.2]",60.1,94,"[55.8, 63.4]",56.4,1235,"[54.4, 57.9]",2025-08-03
ForecastBench,ForecastBench,"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",50.8,1384,"[50.7, 51.9]",62.7,123,"[62.0, 64.1]",56.3,1507,"[56.5, 56.9]",
ForecastBench,Qwen,qwen1.5-110b-chat-superforecaster-with-news-1,54.7,1384,"[54.4, 55.7]",58.0,123,"[58.2, 61.4]",56.3,1507,"[56.5, 58.0]",2024-04-25
ForecastBench,Anthropic,claude-3-opus-20240229-superforecaster-with-news-2,55.4,1384,"[54.8, 56.4]",56.7,123,"[55.9, 58.3]",56.1,1507,"[55.8, 56.9]",2024-02-29
ForecastBench,Google DeepMind,gemini-1.5-flash-scratchpad-with-news-with-freeze-values,52.0,1384,"[52.0, 53.2]",60.7,123,"[59.3, 64.3]",56.1,1507,"[55.5, 58.1]",2024-05-01
ForecastBench,Mistral AI,mistral-large-latest-superforecaster-with-news-1,53.3,1384,"[52.9, 54.2]",59.2,123,"[58.1, 61.0]",56.1,1507,"[55.4, 57.2]",2024-02-26
ForecastBench,Mistral AI,mistral-large-latest-scratchpad-with-news-with-freeze-values,54.0,1384,"[54.1, 55.2]",58.0,123,"[57.2, 61.7]",56.0,1507,"[55.6, 57.9]",2024-02-26
ForecastBench,Google DeepMind,gemini-1.5-pro-superforecaster-with-news-1,53.9,1384,"[53.7, 55.6]",58.0,123,"[55.9, 61.1]",55.9,1507,"[55.1, 57.6]",2024-05-01
ForecastBench,OpenAI,gpt-4-turbo-2024-04-09-superforecaster-with-news-1,54.5,1384,"[54.5, 55.7]",57.3,123,"[55.2, 59.8]",55.9,1507,"[55.4, 57.1]",2024-04-09
ForecastBench,Anthropic,claude-3-haiku-20240307†,51.2,6721,"[51.0, 51.4]",60.9,499,"[60.3, 61.8]",55.8,7220,"[55.4, 56.3]",2024-03-13
ForecastBench,Anthropic,claude-3-opus-20240229-scratchpad-with-news,54.7,1384,"[54.5, 56.8]",56.5,123,"[55.3, 58.4]",55.6,1507,"[55.6, 56.7]",2024-02-29
ForecastBench,xAI,grok-4.20-0309-non-reasoning†,55.3,930,"[54.9, 55.5]",55.5,182,"[50.5, 58.0]",55.4,1112,"[52.7, 56.5]",2026-03-09
ForecastBench,Mistral AI,mistral-large-latest-scratchpad-with-news,54.0,1384,"[54.1, 55.2]",56.3,123,"[55.4, 59.6]",55.1,1507,"[55.2, 57.0]",2024-02-26
ForecastBench,Mistral AI,mistral-large-latest-superforecaster-with-news-2,54.1,1384,"[53.5, 55.4]",55.3,123,"[55.0, 58.0]",54.7,1507,"[54.3, 56.6]",2024-02-26
ForecastBench,OpenAI,gpt-4o-superforecaster-with-news-2,50.4,1384,"[50.3, 51.6]",59.0,123,"[58.4, 61.9]",54.5,1507,"[54.4, 55.8]",2024-05-13
ForecastBench,Google DeepMind,gemini-1.5-flash-scratchpad-with-news,52.0,1384,"[52.0, 53.2]",56.9,123,"[57.5, 60.9]",54.4,1507,"[54.7, 56.6]",2024-05-01
ForecastBench,Mistral AI,mixtral-8x22b-instruct-v0.1-superforecaster-with-news-2,51.8,1384,"[51.5, 53.1]",57.2,123,"[56.3, 59.8]",54.4,1507,"[54.4, 55.7]",2024-04-17
ForecastBench,Google DeepMind,gemini-1.5-pro-superforecaster-with-news-2,52.6,1384,"[52.3, 54.1]",55.3,123,"[54.3, 56.1]",53.9,1507,"[53.6, 54.2]",2024-05-01
ForecastBench,OpenAI,gpt-4-turbo-2024-04-09-superforecaster-with-news-2,52.1,1384,"[51.9, 53.5]",54.9,123,"[53.0, 57.1]",53.5,1507,"[53.0, 54.9]",2024-04-09
ForecastBench,Anthropic,claude-3-haiku-20240307-scratchpad-with-freeze-values,50.4,1384,"[50.3, 52.0]",54.2,123,"[53.8, 55.8]",52.2,1507,"[52.5, 53.1]",2024-03-13
ForecastBench,Meta,llama-2-70b-chat-hf-scratchpad-with-freeze-values,50.1,1384,"[49.7, 51.2]",53.7,123,"[52.6, 56.2]",51.9,1507,"[51.6, 52.8]",2023-07-18
ForecastBench,Google DeepMind,gemini-1.5-flash-superforecaster-with-news-1,50.2,1384,"[49.7, 51.7]",53.5,123,"[50.7, 56.6]",51.8,1507,"[50.2, 53.4]",2024-05-01
ForecastBench,Anthropic,claude-3-haiku-20240307-superforecaster-with-news-2,50.4,1384,"[49.8, 51.3]",53.0,123,"[52.5, 55.1]",51.6,1507,"[51.3, 52.4]",2024-03-13
ForecastBench,Google DeepMind,gemini-1.5-flash-superforecaster-with-news-2,50.0,1384,"[50.3, 51.5]",52.8,123,"[52.4, 56.2]",51.4,1507,"[51.4, 53.4]",2024-05-01
ForecastBench,Meta,llama-2-70b-chat-hf†,49.6,1384,"[49.3, 50.2]",53.0,123,"[52.2, 57.0]",51.3,1507,"[51.2, 53.1]",2023-07-18
ForecastBench,OpenAI,gpt-3.5-turbo-0125-scratchpad-with-freeze-values,48.6,1384,"[48.5, 49.4]",53.0,123,"[51.4, 54.7]",50.7,1507,"[50.2, 51.5]",2024-01-25
ForecastBench,Anthropic,claude-3-haiku-20240307-scratchpad-with-news-with-freeze-values,46.8,1384,"[46.6, 47.9]",54.2,123,"[53.9, 57.0]",50.4,1507,"[50.7, 51.6]",2024-03-13
ForecastBench,ForecastBench,Always 0.5,50.0,24746,"[50.0, 50.0]",50.0,2192,"[50.0, 50.0]",50.0,26938,"[50.0, 50.0]",
ForecastBench,Anthropic,claude-3-haiku-20240307-scratchpad-with-news,46.8,1384,"[46.6, 47.9]",53.2,123,"[52.8, 54.8]",49.9,1507,"[50.0, 50.6]",2024-03-13
ForecastBench,ForecastBench,Always 0,38.7,24746,"[38.4, 38.9]",58.1,2192,"[55.7, 58.6]",47.5,26938,"[46.6, 47.7]",
ForecastBench,OpenAI,gpt-3.5-turbo-0125†,35.1,1384,"[35.1, 35.8]",62.9,123,"[60.7, 63.7]",47.2,1507,"[46.5, 47.9]",2024-01-25
ForecastBench,Anthropic,claude-3-haiku-20240307-superforecaster-with-news-1,44.8,1384,"[44.7, 46.2]",46.7,123,"[46.9, 49.8]",45.7,1507,"[46.1, 47.3]",2024-03-13
ForecastBench,ForecastBench,Random Uniform,42.3,24746,"[42.1, 42.3]",42.4,2192,"[41.9, 43.1]",42.3,26938,"[42.0, 42.6]",
ForecastBench,ForecastBench,Always 1,21.0,24746,"[20.8, 21.2]",9.2,2192,"[9.0, 10.3]",14.9,26938,"[14.7, 15.4]",
